| objective_b9b59_00411 | TERMINATED | 10.203.25.110:558714 |   4 |   4 |   3 |      1 |          15.3914 |  45609.4  |
| objective_b9b59_00412 | TERMINATED | 10.203.25.110:558710 |   5 |   4 |   3 |      1 |          15.2365 |  43027.1  |
| objective_b9b59_00413 | TERMINATED | 10.203.25.110:558712 |   6 |   4 |   3 |      1 |          15.889  |  38847.2  |
| objective_b9b59_00414 | TERMINATED | 10.203.25.110:558724 |   7 |   4 |   3 |      1 |          15.9924 |  26707.5  |
| objective_b9b59_00415 | TERMINATED | 10.203.25.110:558708 |   8 |   4 |   3 |      1 |          16.0582 |  23248.5  |
| objective_b9b59_00416 | TERMINATED | 10.203.25.110:558706 |   9 |   4 |   3 |      1 |          16.2541 |  20396    |
| objective_b9b59_00417 | TERMINATED | 10.203.25.110:558565 |  10 |   4 |   3 |      1 |          16.365  |  18501.7  |
| objective_b9b59_00418 | TERMINATED | 10.203.25.110:558725 |   0 |   5 |   3 |      1 |          15.9482 | 287601    |
| objective_b9b59_00419 | TERMINATED | 10.203.25.110:558728 |   1 |   5 |   3 |      1 |          16.1214 |  21862.5  |
| objective_b9b59_00420 | TERMINATED | 10.203.25.110:558722 |   2 |   5 |   3 |      1 |          15.7384 |  47788.3  |
| objective_b9b59_00421 | TERMINATED | 10.203.25.110:558718 |   3 |   5 |   3 |      1 |          16.0349 |  41628.6  |
| objective_b9b59_00422 | TERMINATED | 10.203.25.110:558716 |   4 |   5 |   3 |      1 |          15.5698 |  64945.8  |
| objective_b9b59_00423 | TERMINATED | 10.203.25.110:558702 |   5 |   5 |   3 |      1 |          15.9412 |  84017.1  |
| objective_b9b59_00424 | TERMINATED | 10.203.25.110:558729 |   6 |   5 |   3 |      1 |          16.1481 |  45227.6  |
| objective_b9b59_00425 | TERMINATED | 10.203.25.110:558720 |   7 |   5 |   3 |      1 |          15.0529 |  48238.4  |
| objective_b9b59_00426 | TERMINATED | 10.203.25.110:558710 |   8 |   5 |   3 |      1 |          15.3472 |  37206.7  |
| objective_b9b59_00427 | TERMINATED | 10.203.25.110:558714 |   9 |   5 |   3 |      1 |          15.615  |  29775.3  |
| objective_b9b59_00428 | TERMINATED | 10.203.25.110:558704 |  10 |   5 |   3 |      1 |          15.6312 |  26277.3  |
| objective_b9b59_00429 | TERMINATED | 10.203.25.110:558712 |   0 |   6 |   3 |      1 |          15.6351 | 291525    |
| objective_b9b59_00430 | TERMINATED | 10.203.25.110:558724 |   1 |   6 |   3 |      1 |          16.0136 | 323324    |
| objective_b9b59_00431 | TERMINATED | 10.203.25.110:558708 |   2 |   6 |   3 |      1 |          15.815  |  68182.4  |
| objective_b9b59_00432 | TERMINATED | 10.203.25.110:558706 |   3 |   6 |   3 |      1 |          15.5334 | 192580    |
| objective_b9b59_00433 | TERMINATED | 10.203.25.110:558565 |   4 |   6 |   3 |      1 |          15.2997 |  82202    |
| objective_b9b59_00434 | TERMINATED | 10.203.25.110:558725 |   5 |   6 |   3 |      1 |          15.9312 | 116799    |
| objective_b9b59_00435 | TERMINATED | 10.203.25.110:558728 |   6 |   6 |   3 |      1 |          16.2052 |  74783.1  |
| objective_b9b59_00436 | TERMINATED | 10.203.25.110:558722 |   7 |   6 |   3 |      1 |          15.9284 |  61853.9  |
| objective_b9b59_00437 | TERMINATED | 10.203.25.110:558720 |   8 |   6 |   3 |      1 |          16.348  |  47020.1  |
| objective_b9b59_00438 | TERMINATED | 10.203.25.110:558716 |   9 |   6 |   3 |      1 |          15.449  |  43553.8  |
| objective_b9b59_00439 | TERMINATED | 10.203.25.110:558718 |  10 |   6 |   3 |      1 |          15.7626 |  36762.8  |
| objective_b9b59_00440 | TERMINATED | 10.203.25.110:558702 |   0 |   7 |   3 |      1 |          15.4583 | 294055    |
| objective_b9b59_00441 | TERMINATED | 10.203.25.110:558710 |   1 |   7 |   3 |      1 |          15.7921 | 334307    |
| objective_b9b59_00442 | TERMINATED | 10.203.25.110:558729 |   2 |   7 |   3 |      1 |          15.9544 | 139625    |
| objective_b9b59_00443 | TERMINATED | 10.203.25.110:558714 |   3 |   7 |   3 |      1 |          15.8285 | 209318    |
| objective_b9b59_00444 | TERMINATED | 10.203.25.110:558704 |   4 |   7 |   3 |      1 |          15.7096 | 106356    |
| objective_b9b59_00445 | TERMINATED | 10.203.25.110:558712 |   5 |   7 |   3 |      1 |          15.2044 | 106202    |
| objective_b9b59_00446 | TERMINATED | 10.203.25.110:558724 |   6 |   7 |   3 |      1 |          15.794  | 109877    |
| objective_b9b59_00447 | TERMINATED | 10.203.25.110:558708 |   7 |   7 |   3 |      1 |          16.734  |  68844    |
| objective_b9b59_00448 | TERMINATED | 10.203.25.110:558706 |   8 |   7 |   3 |      1 |          15.7802 |  70157.9  |
| objective_b9b59_00449 | TERMINATED | 10.203.25.110:558565 |   9 |   7 |   3 |      1 |          15.4507 |  46758.4  |
| objective_b9b59_00450 | TERMINATED | 10.203.25.110:558725 |  10 |   7 |   3 |      1 |          15.9186 |  47395.4  |
| objective_b9b59_00451 | TERMINATED | 10.203.25.110:558716 |   0 |   8 |   3 |      1 |          15.1809 | 294019    |
